,age,marital_v,education_v,contact_v,poutcome_v,has_subscribed_yes
0,56,2.0,1.0,0.0,0.0,0.0
1,57,2.0,4.0,0.0,0.0,0.0
2,37,2.0,4.0,0.0,0.0,0.0
3,40,2.0,2.0,0.0,0.0,0.0
4,56,2.0,4.0,0.0,0.0,0.0
5,45,2.0,3.0,0.0,0.0,0.0
6,59,2.0,5.0,0.0,0.0,0.0
7,24,0.0,5.0,0.0,0.0,0.0
8,25,0.0,4.0,0.0,0.0,0.0
9,25,0.0,4.0,0.0,0.0,0.0
10,29,0.0,4.0,0.0,0.0,0.0
11,57,1.0,1.0,0.0,0.0,0.0
12,35,2.0,2.0,0.0,0.0,0.0
13,54,2.0,3.0,0.0,0.0,0.0
14,35,2.0,2.0,0.0,0.0,0.0
15,46,2.0,2.0,0.0,0.0,0.0
16,50,2.0,3.0,0.0,0.0,0.0
17,39,0.0,3.0,0.0,0.0,0.0
18,30,2.0,4.0,0.0,0.0,0.0
19,55,2.0,1.0,0.0,0.0,0.0
20,55,0.0,4.0,0.0,0.0,0.0
21,41,0.0,4.0,0.0,0.0,0.0
22,37,2.0,4.0,0.0,0.0,0.0
23,35,2.0,6.0,0.0,0.0,0.0
24,39,2.0,3.0,0.0,0.0,0.0
25,54,0.0,6.0,0.0,0.0,0.0
26,54,2.0,1.0,0.0,0.0,0.0
27,54,1.0,1.0,0.0,0.0,0.0
28,34,2.0,4.0,0.0,0.0,0.0
29,52,2.0,3.0,0.0,0.0,0.0
30,41,2.0,6.0,0.0,0.0,0.0
31,56,2.0,1.0,0.0,0.0,0.0
32,32,2.0,4.0,0.0,0.0,0.0
33,38,0.0,5.0,0.0,0.0,0.0
34,57,2.0,6.0,0.0,0.0,0.0
35,44,2.0,6.0,0.0,0.0,0.0
36,42,0.0,5.0,0.0,0.0,0.0
37,57,2.0,6.0,0.0,0.0,0.0
38,40,2.0,3.0,0.0,0.0,0.0
39,35,2.0,6.0,0.0,0.0,0.0
40,45,2.0,3.0,0.0,0.0,0.0
41,54,2.0,4.0,0.0,0.0,0.0
42,39,2.0,1.0,0.0,0.0,0.0
43,60,2.0,4.0,0.0,0.0,0.0
44,53,0.0,5.0,0.0,0.0,0.0
45,55,2.0,1.0,0.0,0.0,0.0
46,55,2.0,5.0,0.0,0.0,0.0
47,50,2.0,6.0,0.0,0.0,0.0
48,45,2.0,4.0,0.0,0.0,0.0
49,55,2.0,5.0,0.0,0.0,0.0
50,25,0.0,6.0,0.0,0.0,0.0
51,47,2.0,6.0,0.0,0.0,0.0
52,51,2.0,3.0,0.0,0.0,0.0
53,42,2.0,2.0,0.0,0.0,0.0
54,42,2.0,2.0,0.0,0.0,0.0
55,48,2.0,4.0,0.0,0.0,0.0
56,37,2.0,6.0,0.0,0.0,0.0
57,44,0.0,3.0,0.0,0.0,0.0
58,56,2.0,3.0,0.0,0.0,0.0
59,44,0.0,1.0,0.0,0.0,0.0
60,41,2.0,2.0,0.0,0.0,0.0
61,44,1.0,6.0,0.0,0.0,0.0
62,47,2.0,6.0,0.0,0.0,0.0
63,37,2.0,6.0,0.0,0.0,0.0
64,41,1.0,1.0,0.0,0.0,1.0
65,55,2.0,6.0,0.0,0.0,0.0
66,33,2.0,4.0,0.0,0.0,0.0
67,42,2.0,3.0,0.0,0.0,0.0
68,50,2.0,1.0,0.0,0.0,0.0
69,38,2.0,4.0,0.0,0.0,0.0
70,49,2.0,6.0,0.0,0.0,1.0
71,38,0.0,6.0,0.0,0.0,0.0
72,31,1.0,4.0,0.0,0.0,0.0
73,41,2.0,2.0,0.0,0.0,0.0
74,39,2.0,6.0,0.0,0.0,0.0
75,49,2.0,3.0,0.0,0.0,1.0
76,34,2.0,4.0,0.0,0.0,0.0
77,35,2.0,6.0,0.0,0.0,0.0
78,33,2.0,3.0,0.0,0.0,0.0
79,42,2.0,2.0,0.0,0.0,0.0
80,45,2.0,5.0,0.0,0.0,0.0
81,42,2.0,6.0,0.0,0.0,0.0
82,53,1.0,6.0,0.0,0.0,0.0
83,37,0.0,5.0,0.0,0.0,0.0
84,44,2.0,2.0,0.0,0.0,0.0
85,49,2.0,1.0,0.0,0.0,0.0
86,52,1.0,6.0,0.0,0.0,0.0
87,52,1.0,6.0,0.0,0.0,0.0
88,43,0.0,4.0,0.0,0.0,0.0
89,34,2.0,2.0,0.0,0.0,0.0
90,35,2.0,4.0,0.0,0.0,0.0
91,60,1.0,6.0,0.0,0.0,0.0
92,58,2.0,1.0,0.0,0.0,0.0
93,35,1.0,4.0,0.0,0.0,0.0
94,55,2.0,3.0,0.0,0.0,0.0
95,37,2.0,6.0,0.0,0.0,0.0
96,36,2.0,4.0,0.0,0.0,0.0
97,52,1.0,6.0,0.0,0.0,0.0
98,48,1.0,1.0,0.0,0.0,0.0
99,40,2.0,4.0,0.0,0.0,0.0
100,49,1.0,4.0,0.0,0.0,0.0
101,41,2.0,4.0,0.0,0.0,0.0
102,45,2.0,4.0,0.0,0.0,0.0
103,32,2.0,6.0,0.0,0.0,0.0
104,42,2.0,6.0,0.0,0.0,0.0
105,50,2.0,2.0,0.0,0.0,0.0
106,31,1.0,5.0,0.0,0.0,0.0
107,56,2.0,1.0,0.0,0.0,0.0
108,41,2.0,5.0,0.0,0.0,1.0
109,37,2.0,2.0,0.0,0.0,0.0
110,41,2.0,5.0,0.0,0.0,0.0
111,37,2.0,2.0,0.0,0.0,0.0
112,52,2.0,6.0,0.0,0.0,0.0
113,39,1.0,6.0,0.0,0.0,0.0
114,39,2.0,1.0,0.0,0.0,0.0
115,56,2.0,1.0,0.0,0.0,0.0
116,34,2.0,4.0,0.0,0.0,0.0
117,45,2.0,3.0,0.0,0.0,1.0
118,43,0.0,6.0,0.0,0.0,0.0
119,39,2.0,6.0,0.0,0.0,0.0
120,53,2.0,1.0,0.0,0.0,0.0
121,42,2.0,1.0,0.0,0.0,0.0
122,42,2.0,1.0,0.0,0.0,0.0
123,35,0.0,4.0,0.0,0.0,0.0
124,40,2.0,6.0,0.0,0.0,0.0
125,51,2.0,1.0,0.0,0.0,0.0
126,60,2.0,3.0,0.0,0.0,0.0
127,39,1.0,4.0,0.0,0.0,0.0
128,36,2.0,3.0,0.0,0.0,0.0
129,43,0.0,5.0,0.0,0.0,0.0
130,59,2.0,4.0,0.0,0.0,0.0
131,24,0.0,6.0,0.0,0.0,0.0
132,37,0.0,3.0,0.0,0.0,0.0
133,40,2.0,3.0,0.0,0.0,0.0
134,42,2.0,3.0,0.0,0.0,0.0
135,39,1.0,4.0,0.0,0.0,0.0
136,37,2.0,2.0,0.0,0.0,0.0
137,38,2.0,4.0,0.0,0.0,0.0
138,54,1.0,6.0,0.0,0.0,0.0
139,43,2.0,4.0,0.0,0.0,0.0
140,36,2.0,4.0,0.0,0.0,0.0
141,45,2.0,6.0,0.0,0.0,0.0
142,42,0.0,6.0,0.0,0.0,0.0
143,43,2.0,4.0,0.0,0.0,0.0
144,46,2.0,3.0,0.0,0.0,0.0
145,44,2.0,4.0,0.0,0.0,0.0
146,51,0.0,2.0,0.0,0.0,0.0
147,28,2.0,4.0,0.0,0.0,0.0
148,37,2.0,3.0,0.0,0.0,0.0
149,34,2.0,4.0,0.0,0.0,0.0
150,46,2.0,2.0,0.0,0.0,0.0
151,42,2.0,3.0,0.0,0.0,1.0
152,36,2.0,6.0,0.0,0.0,0.0
153,54,2.0,1.0,0.0,0.0,0.0
154,57,2.0,6.0,0.0,0.0,0.0
155,51,2.0,2.0,0.0,0.0,0.0
156,54,2.0,4.0,0.0,0.0,0.0
157,49,2.0,1.0,0.0,0.0,0.0
158,34,2.0,6.0,0.0,0.0,0.0
159,41,2.0,5.0,0.0,0.0,0.0
160,38,0.0,3.0,0.0,0.0,0.0
161,45,1.0,6.0,0.0,0.0,0.0
162,42,2.0,6.0,0.0,0.0,0.0
163,34,0.0,3.0,0.0,0.0,0.0
164,48,2.0,1.0,0.0,0.0,0.0
165,37,2.0,4.0,0.0,0.0,0.0
166,34,0.0,3.0,0.0,0.0,0.0
167,40,2.0,3.0,0.0,0.0,0.0
168,43,2.0,2.0,0.0,0.0,0.0
169,33,2.0,4.0,0.0,0.0,0.0
170,32,0.0,2.0,0.0,0.0,0.0
171,39,2.0,4.0,0.0,0.0,0.0
172,44,2.0,3.0,0.0,0.0,0.0
173,35,0.0,6.0,0.0,0.0,0.0
174,35,0.0,6.0,0.0,0.0,0.0
175,35,2.0,5.0,0.0,0.0,0.0
176,36,0.0,1.0,0.0,0.0,0.0
177,35,0.0,6.0,0.0,0.0,0.0
178,36,0.0,3.0,0.0,0.0,0.0
179,55,1.0,6.0,0.0,0.0,0.0
180,59,2.0,6.0,0.0,0.0,0.0
181,39,2.0,5.0,0.0,0.0,0.0
182,39,2.0,1.0,0.0,0.0,0.0
183,50,2.0,1.0,0.0,0.0,0.0
184,40,2.0,4.0,0.0,0.0,0.0
185,35,2.0,4.0,0.0,0.0,0.0
186,36,0.0,2.0,0.0,0.0,0.0
187,46,2.0,1.0,0.0,0.0,0.0
188,40,2.0,3.0,0.0,0.0,0.0
189,58,2.0,6.0,0.0,0.0,0.0
190,42,2.0,6.0,0.0,0.0,0.0
191,35,0.0,6.0,0.0,0.0,0.0
192,43,2.0,1.0,0.0,0.0,0.0
193,45,2.0,1.0,0.0,0.0,0.0
194,39,2.0,5.0,0.0,0.0,0.0
195,50,1.0,5.0,0.0,0.0,0.0
196,32,1.0,1.0,0.0,0.0,0.0
197,39,2.0,4.0,0.0,0.0,0.0
198,52,2.0,6.0,0.0,0.0,0.0
199,44,2.0,5.0,0.0,0.0,0.0
200,56,2.0,1.0,0.0,0.0,0.0
201,48,2.0,4.0,0.0,0.0,0.0
202,33,2.0,4.0,0.0,0.0,0.0
203,43,2.0,6.0,0.0,0.0,0.0
204,57,2.0,4.0,0.0,0.0,0.0
205,36,0.0,5.0,0.0,0.0,0.0
206,34,2.0,6.0,0.0,0.0,0.0
207,34,0.0,3.0,0.0,0.0,0.0
208,30,2.0,6.0,0.0,0.0,0.0
209,32,0.0,5.0,0.0,0.0,0.0
210,36,0.0,4.0,0.0,0.0,0.0
211,36,0.0,4.0,0.0,0.0,0.0
212,33,0.0,4.0,0.0,0.0,0.0
213,40,1.0,5.0,0.0,0.0,0.0
214,41,2.0,1.0,0.0,0.0,0.0
215,51,2.0,2.0,0.0,0.0,0.0
216,36,2.0,5.0,0.0,0.0,0.0
217,53,2.0,4.0,0.0,0.0,0.0
218,58,2.0,3.0,0.0,0.0,0.0
219,45,2.0,3.0,0.0,0.0,0.0
220,33,2.0,4.0,0.0,0.0,0.0
221,33,2.0,4.0,0.0,0.0,0.0
222,42,2.0,4.0,0.0,0.0,0.0
223,43,1.0,3.0,0.0,0.0,0.0
224,42,2.0,6.0,0.0,0.0,0.0
225,27,0.0,2.0,0.0,0.0,0.0
226,34,0.0,6.0,0.0,0.0,0.0
227,31,0.0,6.0,0.0,0.0,0.0
228,54,1.0,6.0,0.0,0.0,0.0
229,40,2.0,1.0,0.0,0.0,0.0
230,52,2.0,4.0,0.0,0.0,0.0
231,47,1.0,6.0,0.0,0.0,0.0
232,49,2.0,3.0,0.0,0.0,0.0
233,32,0.0,4.0,0.0,0.0,0.0
234,49,0.0,4.0,0.0,0.0,0.0
235,50,2.0,3.0,0.0,0.0,0.0
236,34,2.0,4.0,0.0,0.0,0.0
237,55,2.0,1.0,0.0,0.0,0.0
238,47,0.0,3.0,0.0,0.0,0.0
239,51,2.0,5.0,0.0,0.0,0.0
240,47,2.0,2.0,0.0,0.0,0.0
241,56,2.0,1.0,0.0,0.0,0.0
242,53,2.0,3.0,0.0,0.0,0.0
243,36,2.0,3.0,0.0,0.0,0.0
244,42,1.0,3.0,0.0,0.0,0.0
245,44,1.0,2.0,0.0,0.0,0.0
246,39,2.0,3.0,0.0,0.0,1.0
247,37,0.0,4.0,0.0,0.0,0.0
248,36,2.0,4.0,0.0,0.0,0.0
249,42,1.0,6.0,0.0,0.0,0.0
250,31,2.0,4.0,0.0,0.0,0.0
251,53,1.0,5.0,0.0,0.0,0.0
252,45,2.0,1.0,0.0,0.0,0.0
253,37,0.0,5.0,0.0,0.0,0.0
254,47,2.0,5.0,0.0,0.0,0.0
255,49,1.0,4.0,0.0,0.0,0.0
256,36,2.0,6.0,0.0,0.0,0.0
257,35,1.0,4.0,0.0,0.0,0.0
258,38,0.0,4.0,0.0,0.0,0.0
259,50,1.0,4.0,0.0,0.0,0.0
260,59,2.0,5.0,0.0,0.0,0.0
261,42,2.0,4.0,0.0,0.0,0.0
262,40,2.0,2.0,0.0,0.0,0.0
263,57,1.0,1.0,0.0,0.0,0.0
264,42,2.0,6.0,0.0,0.0,0.0
265,41,2.0,1.0,0.0,0.0,0.0
