,age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,employment_variation_rate,has_subscribed
0,56,housemaid,married,basic.4y,no,no,telephone,may,mon,261,1,nonexistent,1.1,no
1,57,services,married,high.school,no,no,telephone,may,mon,149,1,nonexistent,1.1,no
2,37,services,married,high.school,yes,no,telephone,may,mon,226,1,nonexistent,1.1,no
3,40,admin.,married,basic.6y,no,no,telephone,may,mon,151,1,nonexistent,1.1,no
4,56,services,married,high.school,no,yes,telephone,may,mon,307,1,nonexistent,1.1,no
5,45,services,married,basic.9y,no,no,telephone,may,mon,198,1,nonexistent,1.1,no
6,59,admin.,married,professional.course,no,no,telephone,may,mon,139,1,nonexistent,1.1,no
7,24,technician,single,professional.course,yes,no,telephone,may,mon,380,1,nonexistent,1.1,no
8,25,services,single,high.school,yes,no,telephone,may,mon,50,1,nonexistent,1.1,no
9,25,services,single,high.school,yes,no,telephone,may,mon,222,1,nonexistent,1.1,no
10,29,blue-collar,single,high.school,no,yes,telephone,may,mon,137,1,nonexistent,1.1,no
11,57,housemaid,divorced,basic.4y,yes,no,telephone,may,mon,293,1,nonexistent,1.1,no
12,35,blue-collar,married,basic.6y,yes,no,telephone,may,mon,146,1,nonexistent,1.1,no
13,54,retired,married,basic.9y,yes,yes,telephone,may,mon,174,1,nonexistent,1.1,no
14,35,blue-collar,married,basic.6y,yes,no,telephone,may,mon,312,1,nonexistent,1.1,no
15,46,blue-collar,married,basic.6y,yes,yes,telephone,may,mon,440,1,nonexistent,1.1,no
16,50,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,353,1,nonexistent,1.1,no
17,39,management,single,basic.9y,no,no,telephone,may,mon,195,1,nonexistent,1.1,no
18,30,unemployed,married,high.school,no,no,telephone,may,mon,38,1,nonexistent,1.1,no
19,55,blue-collar,married,basic.4y,yes,no,telephone,may,mon,262,1,nonexistent,1.1,no
20,55,retired,single,high.school,yes,no,telephone,may,mon,342,1,nonexistent,1.1,no
21,41,technician,single,high.school,yes,no,telephone,may,mon,181,1,nonexistent,1.1,no
22,37,admin.,married,high.school,yes,no,telephone,may,mon,172,1,nonexistent,1.1,no
23,35,technician,married,university.degree,no,yes,telephone,may,mon,99,1,nonexistent,1.1,no
24,39,self-employed,married,basic.9y,no,no,telephone,may,mon,233,1,nonexistent,1.1,no
25,54,technician,single,university.degree,no,no,telephone,may,mon,255,2,nonexistent,1.1,no
26,54,management,married,basic.4y,yes,no,telephone,may,mon,230,1,nonexistent,1.1,no
27,54,blue-collar,divorced,basic.4y,no,no,telephone,may,mon,208,1,nonexistent,1.1,no
28,34,services,married,high.school,no,no,telephone,may,mon,365,1,nonexistent,1.1,no
29,52,technician,married,basic.9y,yes,no,telephone,may,mon,1666,1,nonexistent,1.1,no
30,41,admin.,married,university.degree,yes,no,telephone,may,mon,577,1,nonexistent,1.1,no
31,56,technician,married,basic.4y,yes,no,telephone,may,mon,137,1,nonexistent,1.1,no
32,32,entrepreneur,married,high.school,yes,no,telephone,may,mon,314,1,nonexistent,1.1,no
33,38,admin.,single,professional.course,no,no,telephone,may,mon,160,1,nonexistent,1.1,no
34,57,admin.,married,university.degree,no,yes,telephone,may,mon,212,1,nonexistent,1.1,no
35,44,admin.,married,university.degree,yes,no,telephone,may,mon,188,1,nonexistent,1.1,no
36,42,technician,single,professional.course,no,no,telephone,may,mon,22,1,nonexistent,1.1,no
37,57,admin.,married,university.degree,yes,yes,telephone,may,mon,616,1,nonexistent,1.1,no
38,40,blue-collar,married,basic.9y,no,yes,telephone,may,mon,178,1,nonexistent,1.1,no
39,35,admin.,married,university.degree,yes,no,telephone,may,mon,355,1,nonexistent,1.1,no
40,45,blue-collar,married,basic.9y,yes,no,telephone,may,mon,225,2,nonexistent,1.1,no
41,54,admin.,married,high.school,no,no,telephone,may,mon,160,1,nonexistent,1.1,no
42,39,housemaid,married,basic.4y,no,yes,telephone,may,mon,266,1,nonexistent,1.1,no
43,60,admin.,married,high.school,no,no,telephone,may,mon,253,1,nonexistent,1.1,no
44,53,admin.,single,professional.course,no,no,telephone,may,mon,179,1,nonexistent,1.1,no
45,55,blue-collar,married,basic.4y,no,no,telephone,may,mon,269,2,nonexistent,1.1,no
46,55,technician,married,professional.course,yes,no,telephone,may,mon,135,1,nonexistent,1.1,no
47,50,management,married,university.degree,no,yes,telephone,may,mon,161,1,nonexistent,1.1,no
48,45,services,married,high.school,yes,no,telephone,may,mon,787,1,nonexistent,1.1,no
49,55,unemployed,married,professional.course,yes,yes,telephone,may,mon,145,1,nonexistent,1.1,no
50,25,technician,single,university.degree,yes,no,telephone,may,mon,174,1,nonexistent,1.1,no
51,47,entrepreneur,married,university.degree,no,no,telephone,may,mon,449,1,nonexistent,1.1,no
52,51,blue-collar,married,basic.9y,yes,no,telephone,may,mon,812,1,nonexistent,1.1,no
53,42,blue-collar,married,basic.6y,yes,no,telephone,may,mon,164,1,nonexistent,1.1,no
54,42,blue-collar,married,basic.6y,no,no,telephone,may,mon,366,1,nonexistent,1.1,no
55,48,admin.,married,high.school,no,no,telephone,may,mon,357,1,nonexistent,1.1,no
56,37,admin.,married,university.degree,no,no,telephone,may,mon,232,1,nonexistent,1.1,no
57,44,blue-collar,single,basic.9y,yes,no,telephone,may,mon,91,1,nonexistent,1.1,no
58,56,admin.,married,basic.9y,yes,no,telephone,may,mon,158,2,nonexistent,1.1,no
59,44,blue-collar,single,basic.4y,yes,yes,telephone,may,mon,177,1,nonexistent,1.1,no
60,41,management,married,basic.6y,no,no,telephone,may,mon,200,1,nonexistent,1.1,no
61,44,management,divorced,university.degree,yes,no,telephone,may,mon,172,1,nonexistent,1.1,no
62,47,admin.,married,university.degree,yes,no,telephone,may,mon,176,1,nonexistent,1.1,no
63,37,admin.,married,university.degree,yes,no,telephone,may,mon,214,1,nonexistent,1.1,no
64,41,blue-collar,divorced,basic.4y,yes,no,telephone,may,mon,1575,1,nonexistent,1.1,yes
65,55,technician,married,university.degree,no,no,telephone,may,mon,349,1,nonexistent,1.1,no
66,33,services,married,high.school,yes,no,telephone,may,mon,337,2,nonexistent,1.1,no
67,42,blue-collar,married,basic.9y,no,no,telephone,may,mon,208,1,nonexistent,1.1,no
68,50,blue-collar,married,basic.4y,yes,no,telephone,may,mon,193,1,nonexistent,1.1,no
69,38,admin.,married,high.school,no,no,telephone,may,mon,165,2,nonexistent,1.1,no
70,49,entrepreneur,married,university.degree,yes,no,telephone,may,mon,1042,1,nonexistent,1.1,yes
71,38,technician,single,university.degree,no,yes,telephone,may,mon,20,1,nonexistent,1.1,no
72,31,admin.,divorced,high.school,no,no,telephone,may,mon,246,1,nonexistent,1.1,no
73,41,management,married,basic.6y,no,no,telephone,may,mon,529,2,nonexistent,1.1,no
74,39,admin.,married,university.degree,yes,yes,telephone,may,mon,192,1,nonexistent,1.1,no
75,49,technician,married,basic.9y,no,no,telephone,may,mon,1467,1,nonexistent,1.1,yes
76,34,admin.,married,high.school,yes,no,telephone,may,mon,188,2,nonexistent,1.1,no
77,35,admin.,married,university.degree,yes,no,telephone,may,mon,180,2,nonexistent,1.1,no
78,33,unemployed,married,basic.9y,no,no,telephone,may,mon,545,1,nonexistent,1.1,no
79,42,blue-collar,married,basic.6y,no,yes,telephone,may,mon,583,1,nonexistent,1.1,no
80,45,services,married,professional.course,yes,no,telephone,may,mon,221,1,nonexistent,1.1,no
81,42,management,married,university.degree,no,no,telephone,may,mon,426,1,nonexistent,1.1,no
82,53,admin.,divorced,university.degree,no,no,telephone,may,mon,287,1,nonexistent,1.1,no
83,37,technician,single,professional.course,no,no,telephone,may,mon,197,1,nonexistent,1.1,no
84,44,blue-collar,married,basic.6y,no,no,telephone,may,mon,257,1,nonexistent,1.1,no
85,49,blue-collar,married,basic.4y,no,no,telephone,may,mon,55,3,nonexistent,1.1,no
86,52,admin.,divorced,university.degree,no,no,telephone,may,mon,197,1,nonexistent,1.1,no
87,52,admin.,divorced,university.degree,no,no,telephone,may,mon,190,1,nonexistent,1.1,no
88,43,services,single,high.school,no,no,telephone,may,mon,21,1,nonexistent,1.1,no
89,34,housemaid,married,basic.6y,yes,no,telephone,may,mon,300,2,nonexistent,1.1,no
90,35,admin.,married,high.school,yes,no,telephone,may,mon,123,2,nonexistent,1.1,no
91,60,retired,divorced,university.degree,no,no,telephone,may,mon,514,1,nonexistent,1.1,no
92,58,unemployed,married,basic.4y,no,no,telephone,may,mon,849,2,nonexistent,1.1,no
93,35,services,divorced,high.school,yes,no,telephone,may,mon,194,1,nonexistent,1.1,no
94,55,blue-collar,married,basic.9y,yes,no,telephone,may,mon,212,2,nonexistent,1.1,no
95,37,management,married,university.degree,no,no,telephone,may,mon,337,2,nonexistent,1.1,no
96,36,blue-collar,married,high.school,no,no,telephone,may,mon,286,1,nonexistent,1.1,no
