,age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,employment_variation_rate,has_subscribed,housing_yes,loan_yes,has_subscribed_yes
0,56,housemaid,married,basic.4y,no,no,telephone,may,mon,261,1,nonexistent,1.1,no,0.0,0.0,0.0
1,57,services,married,high.school,no,no,telephone,may,mon,149,1,nonexistent,1.1,no,0.0,0.0,0.0
2,37,services,married,high.school,yes,no,telephone,may,mon,226,1,nonexistent,1.1,no,1.0,0.0,0.0
3,40,admin.,married,basic.6y,no,no,telephone,may,mon,151,1,nonexistent,1.1,no,0.0,0.0,0.0
4,56,services,married,high.school,no,yes,telephone,may,mon,307,1,nonexistent,1.1,no,0.0,1.0,0.0
5,45,services,married,basic.9y,no,no,telephone,may,mon,198,1,nonexistent,1.1,no,0.0,0.0,0.0
6,59,admin.,married,professional.course,no,no,telephone,may,mon,139,1,nonexistent,1.1,no,0.0,0.0,0.0
7,24,technician,single,professional.course,yes,no,telephone,may,mon,380,1,nonexistent,1.1,no,1.0,0.0,0.0
8,25,services,single,high.school,yes,no,telephone,may,mon,50,1,nonexistent,1.1,no,1.0,0.0,0.0
9,25,services,single,high.school,yes,no,telephone,may,mon,222,1,nonexistent,1.1,no,1.0,0.0,0.0
10,29,blue-collar,single,high.school,no,yes,telephone,may,mon,137,1,nonexistent,1.1,no,0.0,1.0,0.0
11,57,housemaid,divorced,basic.4y,yes,no,telephone,may,mon,293,1,nonexistent,1.1,no,1.0,0.0,0.0
12,35,blue-collar,married,basic.6y,yes,no,telephone,may,mon,146,1,nonexistent,1.1,no,1.0,0.0,0.0
13,54,retired,married,basic.9y,yes,yes,telephone,may,mon,174,1,nonexistent,1.1,no,1.0,1.0,0.0
14,35,blue-collar,married,basic.6y,yes,no,telephone,may,mon,312,1,nonexistent,1.1,no,1.0,0.0,0.0
15,46,blue-collar,married,basic.6y,yes,yes,telephone,may,mon,440,1,nonexistent,1.1,no,1.0,1.0,0.0
16,50,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,353,1,nonexistent,1.1,no,1.0,1.0,0.0
17,39,management,single,basic.9y,no,no,telephone,may,mon,195,1,nonexistent,1.1,no,0.0,0.0,0.0
18,30,unemployed,married,high.school,no,no,telephone,may,mon,38,1,nonexistent,1.1,no,0.0,0.0,0.0
19,55,blue-collar,married,basic.4y,yes,no,telephone,may,mon,262,1,nonexistent,1.1,no,1.0,0.0,0.0
20,55,retired,single,high.school,yes,no,telephone,may,mon,342,1,nonexistent,1.1,no,1.0,0.0,0.0
21,41,technician,single,high.school,yes,no,telephone,may,mon,181,1,nonexistent,1.1,no,1.0,0.0,0.0
22,37,admin.,married,high.school,yes,no,telephone,may,mon,172,1,nonexistent,1.1,no,1.0,0.0,0.0
23,35,technician,married,university.degree,no,yes,telephone,may,mon,99,1,nonexistent,1.1,no,0.0,1.0,0.0
24,39,self-employed,married,basic.9y,no,no,telephone,may,mon,233,1,nonexistent,1.1,no,0.0,0.0,0.0
25,54,technician,single,university.degree,no,no,telephone,may,mon,255,2,nonexistent,1.1,no,0.0,0.0,0.0
26,54,management,married,basic.4y,yes,no,telephone,may,mon,230,1,nonexistent,1.1,no,1.0,0.0,0.0
